Phrase	IPA	SoundsLike	DisplayAs
todei			todei
aef			aef
bunumarara			bunumarara
camrbell			camrbell
wanja			wanja
djamonno			djamonno
birijangaderi			birijangaderi
njadmi			njadmi
bladder			bladder
uil			uil
genen			genen
oeagilla			oeagilla
njeiinanjegri			njeiinanjegri
bedirnen			bedirnen
djugulej			djugulej
efeteutq			efeteutq
arose			arose
mmevn			mmevn
budmerira			budmerira
lomne			lomne
sreen			sreen
types			types
btbuem			btbuem
troubling			troubling
everthing			everthing
hue			hue
omindnnilu			omindnnilu
commit			commit
nangande			nangande
wundug			wundug
dreain			dreain
wurwininari			wurwininari
mlinjiga			mlinjiga
njinngari			njinngari
swimins			swimins
incidence			incidence
rariwenanalu			rariwenanalu
mario			mario
njamamanjindi			njamamanjindi
njerenjinjarugu			njerenjinjarugu
rgaxgnie			rgaxgnie
anbiramirani			anbiramirani
olor			olor
wutwwawundjunanari			wutwwawundjunanari
dile			dile
ivani			ivani
mnsa			mnsa
firoxt			firoxt
situation			situation
nial			nial
ferred			ferred
leaded			leaded
misht			misht
margamaro			margamaro
irumenangajali			irumenangajali
liel			liel
asul			asul
mnenir			mnenir
wurug			wurug
amananga			amananga
budmelu			budmelu
ferhi			ferhi
whon			whon
measure			measure
tercfore			tercfore
edupfpes			edupfpes
mowudga			mowudga
andbobhing			andbobhing
wargumera			wargumera
sued			sued
fully			fully
lilina			lilina
najara			najara
wenjiari			wenjiari
capsise			capsise
mejali			mejali
wuananga			wuananga
wunga			wunga
sjeratngar			sjeratngar
nedjore			nedjore
ultoeether			ultoeether
djamdalgari			djamdalgari
umida			umida
ibj			ibj
burene			burene
sark			sark
pars			pars
idjejeijevuni			idjejeijevuni
endumaraman			endumaraman
biriran			biriran
gadjin			gadjin
bresp			bresp
obeyed			obeyed
nibbline			nibbline
mindjelenjeri			mindjelenjeri
calininlu			calininlu
rou			rou
rom			rom
setot			setot
tint			tint
mawu			mawu
turumara			turumara
tefuemrtfu			tefuemrtfu
callher			callher
bieaiwe			bieaiwe
dahe			dahe
waidy			waidy
ptxxe			ptxxe
behalf			behalf
